['riven', 'leesin', 'leblanc', 'ezreal', 'leona', 'jayce', 'olaf', 'sylas', 'ashe', 'blitzcrank', 'red']
['gnar', 'ezreal', 'kayn', 'lucian', 'blitzcrank', 'graves', 'thresh', 'malphite', 'jinx', 'corki', 'red']
['leesin', 'graves', 'kassadin', 'kalista', 'pyke', 'volibear', 'poppy', 'orianna', 'ezreal', 'yuumi', 'blue']
['garen', 'ezreal', 'morgana', 'akali', 'blitzcrank', 'samira', 'karma', 'camille', 'elise', 'leesin', 'blue']
['lulu', 'lucian', 'kayn', 'neeko', 'irelia', 'caitlyn', 'sylas', 'leesin', 'soraka', 'nasus', 'red']
['blitzcrank', 'jhin', 'tryndamere', 'tristana', 'irelia', 'soraka', 'thresh', 'khazix', 'alistar', 'nautilus', 'red']
['rammus', 'viego', 'ekko', 'ezreal', 'shaco', 'darius', 'diana', 'zed', 'tristana', 'nautilus', 'blue']
['darius', 'diana', 'ezreal', 'zac', 'blitzcrank', 'cassiopeia', 'nidalee', 'vladimir', 'jinx', 'thresh', 'blue']
['leesin', 'nidalee', 'twistedfate', 'missfortune', 'blitzcrank', 'riven', 'rumble', 'katarina', 'kaisa', 'shen', 'red']
['annie', 'aphelios', 'brand', 'leona', 'pantheon', 'viktor', 'azir', 'karthus', 'gnar', 'jayce', 'blue']
['diana', 'jayce', 'akali', 'kaisa', 'pyke', 'ornn', 'evelynn', 'talon', 'samira', 'alistar', 'red']
['viego', 'leesin', 'katarina', 'ezreal', 'senna', 'trundle', 'poppy', 'leblanc', 'jinx', 'lulu', 'red']
['xinzhao', 'ryze', 'talon', 'samira', 'nautilus', 'ornn', 'diana', 'leesin', 'kaisa', 'yuumi', 'red']
['sett', 'diana', 'katarina', 'ezreal', 'senna', 'corki', 'rumble', 'zed', 'varus', 'xerath', 'blue']
['tristana', 'jayce', 'mordekaiser', 'renekton', 'cassiopeia', 'tahmkench', 'samira', 'lux', 'garen', 'veigar', 'blue']
['rumble', 'viego', 'gragas', 'ezreal', 'bard', 'wukong', 'kindred', 'annie', 'sivir', 'senna', 'red']
['gragas', 'hecarim', 'rumble', 'ezreal', 'morgana', 'nautilus', 'kayn', 'galio', 'vayne', 'nocturne', 'red']
['leblanc', 'thresh', 'graves', 'vayne', 'tristana', 'azir', 'veigar', 'draven', 'sivir', 'darius', 'red']
['malphite', 'leesin', 'akali', 'ezreal', 'shaco', 'camille', 'ekko', 'zed', 'kaisa', 'senna', 'blue']
['shen', 'viego', 'katarina', 'ezreal', 'pantheon', 'aatrox', 'qiyana', 'seraphine', 'aphelios', 'zilean', 'red']
['irelia', 'leesin', 'yone', 'jhin', 'trundle', 'aatrox', 'nidalee', 'sylas', 'ezreal', 'lulu', 'blue']
['yorick', 'elise', 'zed', 'samira', 'galio', 'aatrox', 'ekko', 'katarina', 'ezreal', 'pantheon', 'blue']
['gragas', 'hecarim', 'irelia', 'ezreal', 'yuumi', 'garen', 'graves', 'qiyana', 'kogmaw', 'seraphine', 'red']
['malphite', 'kayn', 'syndra', 'ezreal', 'leona', 'wukong', 'leesin', 'sylas', 'varus', 'shaco', 'red']
['viktor', 'diana', 'aatrox', 'ezreal', 'nautilus', 'gwen', 'leesin', 'galio', 'kaisa', 'sett', 'red']
['nidalee', 'leblanc', 'tristana', 'wukong', 'bard', 'cassiopeia', 'trundle', 'senna', 'jayce', 'karma', 'red']
['vayne', 'nidalee', 'anivia', 'jhin', 'senna', 'ornn', 'graves', 'fizz', 'kogmaw', 'thresh', 'red']
['riven', 'khazix', 'garen', 'vayne', 'zilean', 'kayle', 'masteryi', 'viktor', 'tahmkench', 'jhin', 'blue']
['sett', 'leesin', 'jayce', 'ezreal', 'zilean', 'sylas', 'elise', 'irelia', 'jhin', 'soraka', 'red']
['poppy', 'khazix', 'zoe', 'jinx', 'zilean', 'aatrox', 'shaco', 'sylas', 'senna', 'nasus', 'blue']
['jayce', 'drmundo', 'ryze', 'xerath', 'karthus', 'sivir', 'yone', 'masteryi', 'brand', 'seraphine', 'blue']
['irelia', 'drmundo', 'zed', 'senna', 'maokai', 'sylas', 'graves', 'vayne', 'ezreal', 'zilean', 'blue']
['teemo', 'leesin', 'katarina', 'senna', 'kalista', 'fiora', 'warwick', 'xerath', 'ezreal', 'braum', 'blue']
['graves', 'kayn', 'leesin', 'neeko', 'corki', 'malphite', 'yone', 'kalista', 'sylas', 'lucian', 'blue']
['camille', 'ekko', 'zed', 'ezreal', 'karma', 'sett', 'nidalee', 'renekton', 'kaisa', 'pyke', 'red']
['sion', 'jarvaniv', 'garen', 'jhin', 'yuumi', 'wukong', 'shaco', 'leblanc', 'caitlyn', 'xerath', 'red']
['sett', 'hecarim', 'leblanc', 'ezreal', 'alistar', 'gwen', 'viego', 'ahri', 'tristana', 'annie', 'red']
['malphite', 'leesin', 'xerath', 'aphelios', 'shen', 'garen', 'kayn', 'sylas', 'sivir', 'heimerdinger', 'red']
['rengar', 'leesin', 'yasuo', 'caitlyn', 'morgana', 'heimerdinger', 'reksai', 'sylas', 'ezreal', 'xerath', 'blue']
['gragas', 'gangplank', 'annie', 'samira', 'varus', 'aatrox', 'qiyana', 'pyke', 'xayah', 'bard', 'blue']
['lucian', 'yasuo', 'yuumi', 'sett', 'tryndamere', 'swain', 'leesin', 'renekton', 'zed', 'varus', 'red']
['darius', 'gragas', 'qiyana', 'kaisa', 'maokai', 'sylas', 'leesin', 'jax', 'varus', 'xerath', 'blue']
['gnar', 'shaco', 'sylas', 'samira', 'blitzcrank', 'aatrox', 'rammus', 'katarina', 'kaisa', 'sett', 'red']
['wukong', 'shyvana', 'graves', 'samira', 'alistar', 'volibear', 'rumble', 'twistedfate', 'varus', 'seraphine', 'blue']
['lulu', 'kindred', 'xerath', 'kaisa', 'alistar', 'sett', 'shaco', 'malzahar', 'ezreal', 'pyke', 'blue']
['janna', 'varus', 'shyvana', 'jinx', 'rumble', 'lulu', 'velkoz', 'ashe', 'sejuani', 'drmundo', 'red']
['aatrox', 'reksai', 'vladimir', 'jhin', 'lulu', 'vayne', 'leesin', 'jayce', 'varus', 'yuumi', 'blue']
['tryndamere', 'ivern', 'yuumi', 'morgana', 'tristana', 'lucian', 'jhin', 'velkoz', 'ekko', 'ezreal', 'blue']
['poppy', 'nocturne', 'sylas', 'varus', 'morgana', 'tryndamere', 'leesin', 'anivia', 'ezreal', 'blitzcrank', 'blue']
['sylas', 'twitch', 'karma', 'jhin', 'rakan', 'malphite', 'khazix', 'vladimir', 'missfortune', 'lux', 'blue']
['shen', 'jax', 'lucian', 'kaisa', 'nautilus', 'jayce', 'ekko', 'malphite', 'ezreal', 'senna', 'red']
['senna', 'tahmkench', 'volibear', 'xerath', 'teemo', 'yasuo', 'senna', 'udyr', 'garen', 'sett', 'blue']
['leesin', 'graves', 'twistedfate', 'xayah', 'nami', 'garen', 'wukong', 'velkoz', 'jinx', 'zyra', 'blue']
['rengar', 'gragas', 'renekton', 'samira', 'thresh', 'jayce', 'diana', 'aatrox', 'ezreal', 'zac', 'red']
['renekton', 'shaco', 'irelia', 'kaisa', 'leona', 'sett', 'ekko', 'mordekaiser', 'ezreal', 'gragas', 'red']
['morgana', 'lux', 'ornn', 'alistar', 'syndra', 'aatrox', 'orianna', 'graves', 'rumble', 'maokai', 'blue']
['katarina', 'fiddlesticks', 'nasus', 'ezreal', 'karma', 'warwick', 'ekko', 'lucian', 'kaisa', 'pyke', 'blue']
['yasuo', 'nidalee', 'yone', 'kaisa', 'galio', 'sylas', 'morgana', 'renekton', 'varus', 'pyke', 'blue']
['ornn', 'ivern', 'sett', 'jinx', 'leona', 'poppy', 'masteryi', 'rumble', 'ezreal', 'yuumi', 'red']
['tahmkench', 'evelynn', 'talon', 'ashe', 'lulu', 'sylas', 'leesin', 'yasuo', 'kaisa', 'nautilus', 'red']
['sylas', 'hecarim', 'xerath', 'ezreal', 'lulu', 'sett', 'shaco', 'viego', 'jinx', 'thresh', 'blue']
['darius', 'leesin', 'yone', 'caitlyn', 'morgana', 'jayce', 'warwick', 'orianna', 'varus', 'xerath', 'red']
['trundle', 'lillia', 'anivia', 'samira', 'sett', 'aatrox', 'leesin', 'lucian', 'thresh', 'vayne', 'red']
['nasus', 'leesin', 'zed', 'vayne', 'leona', 'jax', 'nidalee', 'ezreal', 'jhin', 'lulu', 'blue']
['karma', 'kindred', 'katarina', 'senna', 'shaco', 'sion', 'nidalee', 'akali', 'aphelios', 'yuumi', 'blue']
['shaco', 'malphite', 'yasuo', 'aphelios', 'lux', 'soraka', 'ezreal', 'leesin', 'teemo', 'ziggs', 'red']
['camille', 'nunu', 'lucian', 'kaisa', 'xerath', 'renekton', 'morgana', 'twistedfate', 'ezreal', 'karma', 'blue']
['mordekaiser', 'anivia', 'irelia', 'kaisa', 'pyke', 'leblanc', 'wukong', 'seraphine', 'maokai', 'nautilus', 'blue']
['gwen', 'viego', 'akali', 'caitlyn', 'senna', 'riven', 'leesin', 'talon', 'ezreal', 'karma', 'red']
['nasus', 'leesin', 'gwen', 'ezreal', 'leona', 'lucian', 'nidalee', 'zed', 'tristana', 'senna', 'red']
['ornn', 'xinzhao', 'graves', 'missfortune', 'thresh', 'poppy', 'warwick', 'akali', 'ezreal', 'alistar', 'blue']
['rengar', 'khazix', 'galio', 'ezreal', 'lux', 'gwen', 'kindred', 'masteryi', 'yone', 'karma', 'red']
['kogmaw', 'brand', 'ahri', 'viktor', 'ivern', 'tahmkench', 'viego', 'zed', 'malphite', 'gwen', 'blue']
['trundle', 'nidalee', 'vladimir', 'varus', 'pyke', 'aatrox', 'leesin', 'sylas', 'ashe', 'malphite', 'red']
['rumble', 'qiyana', 'gangplank', 'shen', 'kogmaw', 'sona', 'irelia', 'vayne', 'alistar', 'sylas', 'blue']
['kayn', 'gnar', 'yasuo', 'lucian', 'nami', 'malphite', 'zac', 'renekton', 'kaisa', 'poppy', 'red']
['nocturne', 'nunu', 'lucian', 'kaisa', 'xerath', 'nasus', 'leesin', 'sylas', 'caitlyn', 'thresh', 'blue']
['masteryi', 'irelia', 'gnar', 'ezreal', 'twitch', 'thresh', 'ezreal', 'sylas', 'twistedfate', 'leesin', 'red']
['irelia', 'kayn', 'qiyana', 'kaisa', 'nami', 'urgot', 'rumble', 'viego', 'ezreal', 'pyke', 'blue']
['talon', 'gragas', 'leesin', 'ezreal', 'orianna', 'volibear', 'kayn', 'leblanc', 'kalista', 'maokai', 'red']
['yorick', 'vi', 'graves', 'kaisa', 'blitzcrank', 'sett', 'kayn', 'lulu', 'sivir', 'khazix', 'blue']
['leesin', 'akali', 'nunu', 'vayne', 'missfortune', 'nidalee', 'yuumi', 'galio', 'xerath', 'vi', 'blue']
['irelia', 'nocturne', 'ekko', 'caitlyn', 'taric', 'fiora', 'wukong', 'kassadin', 'jinx', 'nautilus', 'red']
['camille', 'nidalee', 'galio', 'kaisa', 'nami', 'gnar', 'leesin', 'orianna', 'jinx', 'thresh', 'blue']
['aatrox', 'leesin', 'tristana', 'kaisa', 'lulu', 'camille', 'nidalee', 'sylas', 'ezreal', 'karma', 'blue']
['heimerdinger', 'alistar', 'soraka', 'brand', 'samira', 'gragas', 'morgana', 'masteryi', 'zed', 'gangplank', 'blue']
['aatrox', 'kayn', 'alistar', 'samira', 'talon', 'irelia', 'rumble', 'leblanc', 'ezreal', 'sion', 'red']
['teemo', 'rammus', 'aatrox', 'caitlyn', 'senna', 'ornn', 'leesin', 'yasuo', 'ezreal', 'swain', 'red']
['sett', 'leesin', 'sylas', 'jhin', 'swain', 'volibear', 'lillia', 'zed', 'ezreal', 'thresh', 'blue']
['garen', 'gnar', 'mordekaiser', 'yasuo', 'yone', 'anivia', 'talon', 'rammus', 'poppy', 'senna', 'blue']
['nasus', 'kayn', 'viktor', 'jinx', 'lulu', 'darius', 'xinzhao', 'nunu', 'kaisa', 'seraphine', 'blue']
['ahri', 'xinzhao', 'wukong', 'ezreal', 'karma', 'gnar', 'kindred', 'sylas', 'vayne', 'teemo', 'blue']
['kayn', 'samira', 'ezreal', 'sylas', 'rell', 'renekton', 'gragas', 'nunu', 'senna', 'karma', 'blue']
['thresh', 'gangplank', 'ezreal', 'elise', 'lucian', 'taric', 'riven', 'shaco', 'diana', 'samira', 'red']
['shyvana', 'udyr', 'xerath', 'ashe', 'braum', 'irelia', 'graves', 'aurelionsol', 'kalista', 'thresh', 'blue']
['kled', 'lillia', 'fizz', 'varus', 'veigar', 'sett', 'rumble', 'irelia', 'kaisa', 'blitzcrank', 'blue']
['brand', 'jinx', 'senna', 'vayne', 'xerath', 'sylas', 'seraphine', 'ezreal', 'leesin', 'diana', 'red']
['mordekaiser', 'khazix', 'galio', 'caitlyn', 'senna', 'nidalee', 'kayn', 'yasuo', 'lucian', 'thresh', 'red']
['camille', 'leesin', 'ryze', 'ezreal', 'yuumi', 'sett', 'graves', 'vladimir', 'jhin', 'seraphine', 'blue']
['skarner', 'riven', 'mordekaiser', 'twistedfate', 'akali', 'seraphine', 'wukong', 'nocturne', 'camille', 'missfortune', 'red']
['malphite', 'shaco', 'twistedfate', 'ezreal', 'yuumi', 'poppy', 'wukong', 'seraphine', 'aphelios', 'morgana', 'red']
['urgot', 'diana', 'twistedfate', 'yasuo', 'swain', 'singed', 'kayn', 'sett', 'ezreal', 'lux', 'blue']
['katarina', 'jhin', 'elise', 'thresh', 'sett', 'jhin', 'leesin', 'zoe', 'galio', 'lulu', 'red']
['yuumi', 'ekko', 'zed', 'kaisa', 'sett', 'gwen', 'nidalee', 'xerath', 'jhin', 'rell', 'blue']
['aatrox', 'nidalee', 'lucian', 'sylas', 'nautilus', 'volibear', 'kayn', 'akali', 'ezreal', 'lux', 'blue']
['samira', 'swain', 'sylas', 'nunu', 'leesin', 'diana', 'chogath', 'thresh', 'gragas', 'ezreal', 'blue']
['karma', 'leesin', 'rumble', 'caitlyn', 'soraka', 'gwen', 'graves', 'talon', 'varus', 'senna', 'blue']
['nautilus', 'tahmkench', 'morgana', 'varus', 'rakan', 'kalista', 'pyke', 'drmundo', 'zilean', 'kogmaw', 'blue']
['darius', 'rengar', 'yasuo', 'ezreal', 'xerath', 'kled', 'kindred', 'malphite', 'ashe', 'zilean', 'blue']
['renekton', 'nidalee', 'talon', 'ezreal', 'senna', 'drmundo', 'evelynn', 'morgana', 'kaisa', 'brand', 'red']
['talon', 'diana', 'kaisa', 'kayn', 'tryndamere', 'volibear', 'yasuo', 'anivia', 'kogmaw', 'soraka', 'red']
['kayle', 'xinzhao', 'zed', 'lucian', 'karma', 'trundle', 'kindred', 'talon', 'missfortune', 'thresh', 'blue']
['tryndamere', 'nocturne', 'zed', 'ashe', 'lulu', 'ryze', 'graves', 'vladimir', 'jhin', 'nautilus', 'blue']
['aatrox', 'leesin', 'sylas', 'ezreal', 'nautilus', 'senna', 'graves', 'akali', 'samira', 'irelia', 'red']
['ryze', 'leesin', 'irelia', 'twitch', 'thresh', 'fiora', 'elise', 'zed', 'caitlyn', 'sett', 'red']
['akali', 'jarvaniv', 'ahri', 'ezreal', 'xerath', 'heimerdinger', 'leesin', 'zoe', 'tristana', 'nautilus', 'red']
['sylas', 'azir', 'xinzhao', 'bard', 'syndra', 'leesin', 'neeko', 'missfortune', 'xerath', 'samira', 'red']
['fiddlesticks', 'udyr', 'varus', 'tristana', 'pantheon', 'sett', 'leesin', 'akali', 'jinx', 'lulu', 'blue']
['sett', 'xinzhao', 'corki', 'kaisa', 'nautilus', 'singed', 'graves', 'sylas', 'yasuo', 'xerath', 'blue']
['drmundo', 'nocturne', 'katarina', 'kaisa', 'thresh', 'sett', 'elise', 'renekton', 'ezreal', 'nautilus', 'red']
['ornn', 'kindred', 'galio', 'kaisa', 'zac', 'sett', 'leesin', 'neeko', 'jhin', 'maokai', 'red']
['vi', 'malphite', 'mordekaiser', 'leblanc', 'yasuo', 'kaisa', 'leona', 'diana', 'graves', 'jax', 'blue']
['lux', 'fiora', 'karthus', 'drmundo', 'janna', 'chogath', 'morgana', 'senna', 'twistedfate', 'khazix', 'red']
['samira', 'zoe', 'brand', 'sett', 'jayce', 'kindred', 'urgot', 'xerath', 'zed', 'ezreal', 'blue']
['riven', 'ekko', 'irelia', 'aphelios', 'nautilus', 'renekton', 'elise', 'sylas', 'ezreal', 'maokai', 'red']
['wukong', 'leesin', 'orianna', 'ezreal', 'thresh', 'akali', 'khazix', 'xerath', 'samira', 'lux', 'blue']
['lucian', 'corki', 'rengar', 'leesin', 'mordekaiser', 'sivir', 'twistedfate', 'lux', 'volibear', 'nami', 'red']
['fiora', 'leesin', 'akali', 'kogmaw', 'zilean', 'vladimir', 'viego', 'yone', 'cassiopeia', 'leona', 'blue']
['lucian', 'ezreal', 'skarner', 'tryndamere', 'tahmkench', 'zilean', 'velkoz', 'jhin', 'draven', 'qiyana', 'red']
['tristana', 'leona', 'qiyana', 'missfortune', 'amumu', 'wukong', 'warwick', 'talon', 'ezreal', 'thresh', 'blue']
['kennen', 'nocturne', 'yone', 'ezreal', 'heimerdinger', 'irelia', 'kindred', 'sylas', 'caitlyn', 'thresh', 'red']
['sett', 'graves', 'viego', 'vayne', 'lulu', 'volibear', 'ekko', 'qiyana', 'kaisa', 'braum', 'red']
['yasuo', 'yuumi', 'jhin', 'leesin', 'gnar', 'xerath', 'volibear', 'skarner', 'aphelios', 'shyvana', 'blue']
['gnar', 'nidalee', 'qiyana', 'kaisa', 'rakan', 'yorick', 'rumble', 'ekko', 'kogmaw', 'xerath', 'red']
['akali', 'khazix', 'zed', 'missfortune', 'blitzcrank', 'mordekaiser', 'kayn', 'viego', 'kaisa', 'lulu', 'blue']
['renekton', 'warwick', 'qiyana', 'varus', 'senna', 'gwen', 'kayn', 'talon', 'kaisa', 'thresh', 'red']
['darius', 'olaf', 'malphite', 'varus', 'nami', 'akali', 'elise', 'sett', 'vayne', 'lulu', 'red']
['malphite', 'ekko', 'talon', 'vayne', 'lux', 'sylas', 'urgot', 'leesin', 'kaisa', 'nautilus', 'blue']
['warwick', 'kindred', 'kennen', 'lucian', 'zilean', 'sett', 'elise', 'anivia', 'jinx', 'yuumi', 'red']
['sylas', 'reksai', 'kayle', 'ezreal', 'nautilus', 'gwen', 'olaf', 'renekton', 'alistar', 'yasuo', 'blue']
['lulu', 'pantheon', 'amumu', 'yasuo', 'blitzcrank', 'ahri', 'karthus', 'heimerdinger', 'rengar', 'ziggs', 'red']
['aphelios', 'karma', 'kaisa', 'nautilus', 'malphite', 'gwen', 'lissandra', 'yone', 'drmundo', 'rakan', 'red']
['samira', 'nidalee', 'viego', 'riven', 'maokai', 'shen', 'senna', 'yone', 'sivir', 'zac', 'red']
['vladimir', 'graves', 'zed', 'kaisa', 'xerath', 'sett', 'lillia', 'ahri', 'samira', 'thresh', 'blue']
['leesin', 'elise', 'irelia', 'ezreal', 'soraka', 'garen', 'rumble', 'fizz', 'lucian', 'pyke', 'red']
['graves', 'rell', 'karma', 'maokai', 'katarina', 'khazix', 'teemo', 'ornn', 'aphelios', 'leesin', 'blue']
['samira', 'qiyana', 'zac', 'ornn', 'shaco', 'talon', 'nidalee', 'leblanc', 'kaisa', 'teemo', 'red']
['ezreal', 'lux', 'leesin', 'sylas', 'ekko', 'varus', 'zilean', 'malphite', 'zed', 'zac', 'blue']
['heimerdinger', 'pantheon', 'cassiopeia', 'kaisa', 'karma', 'ornn', 'elise', 'akali', 'ashe', 'leona', 'blue']
['rumble', 'leesin', 'talon', 'kaisa', 'fiddlesticks', 'renekton', 'gragas', 'varus', 'jhin', 'karma', 'red']
['lucian', 'wukong', 'annie', 'missfortune', 'nautilus', 'ezreal', 'leesin', 'twistedfate', 'jhin', 'xerath', 'red']
['karma', 'khazix', 'ezreal', 'samira', 'aatrox', 'irelia', 'leesin', 'talon', 'jinx', 'gnar', 'blue']
['chogath', 'xinzhao', 'yone', 'ezreal', 'sett', 'sion', 'khazix', 'galio', 'kaisa', 'lulu', 'blue']
['malphite', 'leesin', 'galio', 'lucian', 'seraphine', 'sett', 'kindred', 'zed', 'vayne', 'sona', 'blue']
['katarina', 'xerath', 'masteryi', 'zac', 'twistedfate', 'twitch', 'lulu', 'jhin', 'heimerdinger', 'yuumi', 'blue']
['malphite', 'viego', 'yone', 'ezreal', 'rell', 'camille', 'leesin', 'yasuo', 'vayne', 'xerath', 'blue']
['leona', 'teemo', 'nunu', 'yasuo', 'orianna', 'ashe', 'ziggs', 'karma', 'diana', 'sion', 'red']
['missfortune', 'ezreal', 'fizz', 'blitzcrank', 'sylas', 'swain', 'varus', 'nunu', 'twitch', 'zed', 'blue']
['kled', 'leesin', 'lulu', 'ezreal', 'xerath', 'wukong', 'khazix', 'vladimir', 'jhin', 'seraphine', 'blue']
['ahri', 'janna', 'tryndamere', 'masteryi', 'orianna', 'corki', 'pyke', 'diana', 'senna', 'leblanc', 'red']
['alistar', 'samira', 'malphite', 'nasus', 'nidalee', 'sett', 'mordekaiser', 'volibear', 'thresh', 'ezreal', 'red']
['malphite', 'sion', 'katarina', 'jinx', 'nautilus', 'jax', 'diana', 'pantheon', 'ezreal', 'braum', 'red']
['malphite', 'amumu', 'varus', 'ashe', 'karma', 'illaoi', 'khazix', 'lux', 'ezreal', 'thresh', 'blue']
['kayle', 'fiddlesticks', 'anivia', 'samira', 'rell', 'lucian', 'nocturne', 'akali', 'swain', 'lux', 'blue']
['sett', 'nidalee', 'sylas', 'kaisa', 'nautilus', 'volibear', 'xinzhao', 'zed', 'kogmaw', 'soraka', 'red']
['mordekaiser', 'yone', 'leesin', 'missfortune', 'pyke', 'vayne', 'leesin', 'ryze', 'blitzcrank', 'alistar', 'blue']
['pantheon', 'nidalee', 'leblanc', 'samira', 'sett', 'aatrox', 'viego', 'zoe', 'varus', 'karma', 'blue']
['malphite', 'fiddlesticks', 'viego', 'kaisa', 'leona', 'vayne', 'rumble', 'viktor', 'jinx', 'thresh', 'blue']
['gnar', 'leesin', 'teemo', 'ezreal', 'zyra', 'malphite', 'karthus', 'nunu', 'caitlyn', 'nautilus', 'red']
['renekton', 'poppy', 'akali', 'jinx', 'sett', 'mordekaiser', 'nocturne', 'qiyana', 'kaisa', 'maokai', 'red']
['nasus', 'kindred', 'vladimir', 'ashe', 'lux', 'yasuo', 'leesin', 'sylas', 'kaisa', 'blitzcrank', 'red']
['vayne', 'anivia', 'karma', 'skarner', 'teemo', 'ashe', 'zed', 'lux', 'renekton', 'orianna', 'red']
['tahmkench', 'senna', 'xerath', 'aatrox', 'ekko', 'shaco', 'lulu', 'jayce', 'varus', 'sylas', 'blue']
['kennen', 'graves', 'garen', 'kaisa', 'lulu', 'gwen', 'leesin', 'katarina', 'ashe', 'nautilus', 'red']
['volibear', 'khazix', 'zed', 'jhin', 'leona', 'sett', 'masteryi', 'anivia', 'aphelios', 'thresh', 'red']
['irelia', 'yone', 'jhin', 'xerath', 'diana', 'anivia', 'ziggs', 'syndra', 'fiddlesticks', 'darius', 'blue']
['yasuo', 'graves', 'seraphine', 'ashe', 'senna', 'aatrox', 'shaco', 'jayce', 'tristana', 'pyke', 'blue']
['gwen', 'zed', 'taliyah', 'pyke', 'ezreal', 'leesin', 'leblanc', 'xerath', 'xayah', 'ashe', 'blue']
['renekton', 'mordekaiser', 'senna', 'nunu', 'ezreal', 'kayle', 'riven', 'aphelios', 'maokai', 'elise', 'red']
['sylas', 'xinzhao', 'kassadin', 'caitlyn', 'brand', 'vayne', 'leesin', 'talon', 'ezreal', 'blitzcrank', 'blue']
['tahmkench', 'shyvana', 'zed', 'kogmaw', 'lulu', 'poppy', 'shaco', 'anivia', 'kaisa', 'thresh', 'blue']
['yone', 'sylas', 'jayce', 'sivir', 'varus', 'twitch', 'kayle', 'samira', 'nautilus', 'malphite', 'blue']
['leesin', 'jinx', 'annie', 'kennen', 'mordekaiser', 'veigar', 'neeko', 'jax', 'morgana', 'jhin', 'blue']
['gwen', 'graves', 'skarner', 'samira', 'leona', 'vladimir', 'leesin', 'yasuo', 'kogmaw', 'lulu', 'blue']
['akali', 'kindred', 'xerath', 'tristana', 'blitzcrank', 'shen', 'nidalee', 'sett', 'ezreal', 'galio', 'red']
['gnar', 'diana', 'talon', 'samira', 'alistar', 'wukong', 'xinzhao', 'fizz', 'kaisa', 'morgana', 'blue']
['wukong', 'graves', 'galio', 'kalista', 'thresh', 'singed', 'gragas', 'yone', 'ezreal', 'lulu', 'blue']
['malphite', 'kayn', 'tryndamere', 'kaisa', 'xerath', 'gwen', 'reksai', 'yasuo', 'jhin', 'sett', 'blue']
['jayce', 'xinzhao', 'nunu', 'tristana', 'poppy', 'camille', 'leesin', 'lissandra', 'ezreal', 'lulu', 'red']
['akali', 'leesin', 'renekton', 'samira', 'thresh', 'mordekaiser', 'diana', 'yasuo', 'varus', 'leona', 'blue']
